LFDNR,KITA_ID,E_NAME,ADRESSE,RECHTSWERT,HOCHWERT,HOMEPAGE,BEZIRK
69,98,St. Michael I,Besselweg 4,402473,5758449,http://www.liebfrauen-ueberwasser.de/kitas.html,Gievenbeck
468,302,Gronowskistraße,Gronowskistraße 1,401292,5758492,http://www.outlaw-ggmbh.de/,Gievenbeck
44,18,Dicker Waldemar,Hansaplatz 5,406838,5756942,http://www.kita-dicker-waldemar.de,Hansaviertel
36,124,Inklusiver Montessori-Kindergarten,Mauritz-Lindenweg 100,407754,5757374,http://www.montessori-kiga-muenster.de,Herz-Jesu
922,396,Hermannschule,Scheibenstraße 35,405501,5755783,-,Schützenhof
781,342,Kita Kiesekampweg (Dep. Marderweg),Kiesekampweg 21,406482,5761030,http://www.awo-msl-re.de/awo-vor-ort/vo-ms/vo-kita-ms/vo-kita-fz-marderweg/familienzentrum-kindertageseinrichtung-coerde.html,Coerde
2,12,St. Lamberti,Kirchherrngasse 5,405917,5757884,http://www.st-lamberti.de/de/unsere_kindertagesstaetten/besuch_in_der_kita_st_lamberti/,Mitte
47,160,Pastor-Hoeing-Kindergarten,Südstraße 70,405788,5756339,http://www.st-joseph-muenster-sued.de/einrichtungen/kindergaerten/pastor-hoeing-kindergarten/,Josef
295,129,Wolkenburg,Lindenbreie 43,401532,5757438,https://www.drk-muenster.de/angebot/kita/wolkenburg/index.php,Gievenbeck
100,147,Marderweg,Marderweg 45,406419,5761568,http://www.awo-msl-re.de/awo-vor-ort/vo-ms/vo-kita-ms/vo-kita-fz-marderweg/familienzentrum-kindertageseinrichtung-coerde.html,Coerde
29,85,St. Mauritz,Sankt-Mauritz-Freiheit 62,407268,5757765,http://www.sankt-mauritz.com/kita-mauritz,Herz-Jesu
107,44,Brüningheide,Josef-Beckmann-Straße 34a,403467,5761733,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Kinderhaus
459,76,Dahlweg / südl. Roddestraße,Dahlweg 101,405784,5755517,-,Schützenhof
886,426,Nottulner Landweg,Nottulner Landweg 1,400074,5756545,-,Roxel
158,57,Hiltrup,An der Christuskirche 4,407219,5751630,http://www.ev-kirche-hiltrup.de/index.php?id=kindergarten_hiltrup,Hiltrup
146,51,Isisgarten,Am Tiergarten 59,413428,5752788,http://www.waldorfkita-isisgarten.de,Wolbeck
15,69,Friesenring,Friesenring 30,404964,5759065,http://www.ev-kirchenkreis-muenster.de/arbeitsfelder/bildung-und-erziehung/kitas/einrichtungen/stadt-muenster/muenster-mitte/kita-friesenring/,Kreuz
59,80,Die Zwerge,Südstraße 71b,405902,5756302,https://die-zwerge.habanunu.de/willkommen,Josef
19,95,Kinderhäuschen,Salzmannstraße 53,404972,5759949,http://www.kinderhaeuschen-muenster.de,Uppenberg
75,25,Legdenweg,Legdenweg 142,401631,5759413,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Gievenbeck
89,27,St. Josef,Steinkuhle 2,398813,5753203,https://www.kirche-mswest.de/kita-st-josef/,Josef
452,397,Willingrott,Willingrott 49a,411583,5762371,-,Handorf
60,76,Süd,Roddestraße 8,405359,5755662,http://www.kitasued.de/,Schützenhof
110,109,Wilkinghege,Guerickeweg 2,403562,5760995,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Kidnerhaus-West
138,156,Janusz-Korczak-Haus,Zwi-Schulmann-Weg 25,409297,5754511,http://www.cvjmmuenster.de/,Gremmendorf
133,4,Villa Kunterbunt,Dorbaumstraße 300,411400,5763299,http://www.muenster.org/villa-kunterbunt,Handorf
61,75,Paladu,Elsässer Straße 19,405174,5755149,https://paladu.habanunu.de/willkommen-bei-paladu,Geist
50,15,Bullerbü,Sankt-Josefs-Kirchplatz 4,405425,5756667,http://www.kita-kruemelmonster.de,Josef
20,91,Die kleinen Strolche,Grevener Straße 138,404705,5759275,http://www.ms-kleinestrolche.de,Neutor
72,96,Ev. Lukas-Kindertageseinrichtung,Rüschhausweg 19,402266,5758353,http://www.ev-kirchenkreis-muenster.de/arbeitsfelder/bildung-und-erziehung/kitas/einrichtungen/stadt-muenster/muenster-west/lukas-kita/,Gievenbeck
130,117,St. Petronilla,Ludwig-Wolker-Straße 1,410685,5760534,http://www.st-petronilla.de/kindertagesstaetten/st-petronilla.html,Handorf
150,54,St. Maximilian Kolbe,Rincklakeweg 34,405000,5753743,http://muenster-familienzentrum.de/,Berg-Fidel
744,119,Wielerort (Dep.),Kardinalstraße 15,406807,5751406,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Hiltrup
310,,Hengst Kinderland,Nienkamp 65,405136,5760207,http://hengst.com/de/karriereseite/kompetenz/#kinderland,Uppenberg
131,116,Kinderbrücke,Telgenweg 10,411669,5761855,http://www.kinderbruecke-handorf.de/,Handorf
141,45,Miriam-Kindertagesstätte,Bonnenkamp 71,409998,5751992,http://www.caritas-ms.de/62502.html,Angelmodde
115,30,Die Krokodile,Carl-Neuendorff-Weg 17,399968,5761308,http://kita-krokodile.de/,Nienberge
